Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
El Puente,BEP-100,2021-11-10,10:40,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.336""","65° 12' 33.738""",-21.2393,-65.2094,0.208,0,547,206,8.29,-85.4,1828,0.9,23.4,8.46,132.6,5.04,1620,1620,0.5,8,780,8.5,177,102.86,659.4,102.1,79.17,129.18,10.3,111.74,82.16,129.18,11.13,0.1,0.1,0.99,0.01,0.005,5.74,9.0585,12.078,NA,48,22,NA,NA,2,5,5,25,25,5,100,1,5,25,3,0.25,0.5,2.5,0.25,50,2600,0.5,5,100,1,5,25,3,0.25,0.5,2.5,0.25,100,2900,0.5,0.001,5e-4,0.032,0.019,NA,NA,NA,NA,0,NA,300000,NA,NA,NA,100000,0,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Josecito,BSJ-130,2021-11-09,8:50,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilaya,Unidad 6,"21° 9' 6.714""","64° 14' 4.086""",-21.1519,-64.2345,NA,NA,909,185.6,8.52,-99,1100,0.5,22.8,7.91,100.8,215,1102,936,166,11,460,7.5,126.5,54.68,442.8,95.51,52.58,63.81,6.29,98.99,53.33,65.65,6.38,0.1,0,0.8,0.01,0.78,5.04,2.5,1,NA,60,20,NA,NA,0,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,50,600,0.5,5,100,0.5,5,25,4,0.25,4,2.5,0.25,6000,700,0.5,0.001,5e-4,0.056,0.019,NA,NA,NA,NA,12.05,NA,602.41,NA,NA,NA,36144.58,602.41,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Aruma - Automática,BPA-140,2021-11-08,17:40,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"20° 54' 49.92""","64° 6' 37.644""",-20.9139,-64.1105,NA,NA,933,178.6,7.98,-68.5,1072,0.5,24.4,7.25,94,1650,6628,716,5912,19,308,1.5,106,137.2,234.6,50.18,31.46,103.64,7.85,52.15,31.46,106.81,8.53,0.2,0.2,0.64,0.01,2.63,7.14,5.055,6.74,NA,60,20,NA,NA,14,5,5,25,25,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,50,400,0.5,138,5000,150,133,450,44,0.8,158,2.5,0.25,225000,500,2,0.001,5e-4,0.046,0.019,NA,0.34,76.12,25.4,7.44,NA,16.91,0.14,22.5,23.34,38058.19,845.74,25.37,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2021-11-08,7:10,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 31.086""","63° 30' 40.722""",-21.2586,-63.5113,0.261,32,855,192.1,8.07,-73.1,1169,0.5,22.8,8.03,97.3,1650,2843,778,2065,25,304,15,101,168.13,211.4,50.67,29.47,123.39,9.07,54.13,30.96,124.03,9.07,0.1,0.1,0.77,0.01,3.73,0.14,8.3025,11.07,NA,75,40,NA,NA,0,5,5,25,25,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,25,300,0.5,116,3000,83,76,240,26,0.25,81,2.5,0.25,118000,400,0.5,0.001,5e-4,0.041,0.019,NA,NA,116.22,34.83,12.59,NA,48.43,NA,36.8,56.17,57142.86,1452.78,40.19,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2021-11-07,13:40,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.124""","62° 31' 6.99""",-22.3781,-62.5186,NA,NA,504,184.7,7.88,-61.7,1984,1,19.8,8.11,91.7,1650,6797,1632,5165,24,652,1.5,101.5,252.19,622.5,91.5,56.31,179.22,13.52,95.54,60.04,189.34,16.11,0.2,0.2,0.98,0.01,4.1,7.14,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,1,5,25,1,0.25,0.5,2.5,0.25,50,400,0.5,253,6000,189,173,590,69,1,189,2.5,1.3,265000,700,5,0.001,0.002,0.034,0.019,NA,0.97,114.23,33.97,13.17,NA,58.08,0.19,33.49,48.98,51306.87,1161.67,36.4,NA,water_2021_clean.xlsx,NA,0.25,NA,NA,NA,NA,NA,NA,NA
María Cristina,AMC-190,2021-11-07,10:15,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Estrella,Bañado La Estrella,"22° 41' 29.784""","62° 12' 7.014""",-22.6916,-62.202,NA,NA,572,187.3,8.04,-72.3,1746,0.9,18,8.52,92.1,1650,5340,1162,4178,16,396,20,115,308.57,298.4,57.09,39.17,208.48,12.69,58.57,39.41,212.62,14.45,0.2,0.2,0.52,0.01,1.77,5.74,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,1,5,25,1,0.25,0.5,2.5,0.25,50,600,0.5,119,2000,85,89,310,38,0.7,91,2.5,0.25,130000,700,3,0.001,0.003,0.039,0.019,NA,0.72,74.2,18.74,8.86,NA,23.93,0.17,21.3,28.48,31115.37,478.7,20.11,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meyer Sitio 01,PCM-191,2021-11-07,7:15,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo Medio Embocadura - Canal Paraguayo,NA,"22° 42' 44.28""","62° 9' 19.62""",-22.7123,-62.1554,NA,NA,541,189.1,8.09,-73,1848,0.9,17.9,8.63,93,1650,4226,1228,2998,15,404,3.5,119,337.62,462.1,61.05,40.9,233.56,10.83,61.54,41.9,254.18,11.66,0.2,0.1,0.75,0.01,1.52,8.54,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,1,0.25,0.5,2.5,0.25,50,500,0.5,126,3000,90,92,330,43,0.8,103,2.5,0.5,146000,600,1,0.001,0.002,0.043,0.019,NA,0.33,110.07,30.74,14.01,NA,33.36,0.27,30.69,42.03,48699.13,1000.67,30.02,NA,water_2021_clean.xlsx,NA,0.17,NA,NA,NA,NA,NA,NA,NA
Negro Ruta PY09,PR9N-230,2021-10-26,11:40,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Negro,NA,"24° 11' 22.8""","58° 18' 0.9""",-24.1897,-58.3003,NA,NA,1760,171.6,7.36,-41.8,568,0.2,26.8,6.71,84.2,265,576,392,184,250,75.4,0,52.5,105,66.87,24.5,2.96,78.2,9.15,25.3,2.96,80.69,10.7,3.37,1.1,0.077,0.026,1.18,0.19,7.7,72.4,NA,74000,1400,NA,NA,17600000,5,5,25,25,5,100,1,5,25,4,0.25,0.5,2.5,0.25,200,100,0.5,5,200,1,5,25,5,0.25,3,2.5,0.25,5000,100,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,5.43,NA,0,NA,NA,NA,26086.96,543.48,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montelindo en ruta PY09,PR9M-260,2021-10-26,10:05,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Montelindo,NA,"23° 53' 35.58""","58° 26' 45.12""",-23.8932,-58.4459,NA,NA,375,148.4,7.24,-36.2,2670,1.4,24.7,5.98,72.5,129,1756,1614.4,141.6,200,280.5,0,70,575.5,39.6,102.2,4.96,340.07,7.11,104.2,4.96,348.11,7.86,1.74,0.401,0.033,0.065,0.934,0.296,7.8,85.07,NA,61600,1160,NA,NA,24640000,5,5,25,25,5,600,1,5,25,3,0.25,0.5,2.5,0.25,50,700,0.5,5,600,1,5,25,3,0.25,3,2.5,0.25,4000,700,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,0,NA,0,NA,NA,NA,28248.59,0,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Solitario,PES-194,2021-10-21,8:30,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,22 51 36.24,62 1 9.24,-22.8601,-62.0192,NA,NA,794.5,211.6,8.38,-83.9,1259,0.6,21.9,8.95,104.9,54.7,905,868,37,30,377.4,6.5,91,166.6,380.9,98,29.7,120.87,6.83,102.2,29.7,126.5,6.93,0.227,0.054,0.03,0.033,4.56,0.32,9.5,41.63,NA,16000,1860,NA,NA,8160000,5,5,25,25,5,25,0.5,5,25,1,0.25,0.5,2.5,0.25,50,300,0.5,5,25,0.5,5,25,1,0.25,1,2.5,0.25,1000,400,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,0,NA,2702.7,NA,NA,NA,27027.03,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Loyola,APL-320,2021-10-19,13:10,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Paraguay,"25° 15' 51.06""","57° 43' 27.42""",-25.2642,-57.7243,NA,NA,85.9,150.2,7.78,-50.4,11660,6.7,24.6,6.08,73.2,59.1,8038,7951.5,86.5,125,1020,0,173,1605.4,2096.7,322.9,48.3,2001.9,6.5,327,49.6,2010.06,6.5,1.75,0.544,0.14,0.09,0.478,0.23,7.4,93.84,NA,152000,5200,NA,NA,68640000,5,5,25,25,5,500,1,5,25,5,0.25,0.5,2.5,0.25,100,1600,3,5,600,1,5,25,5,0.25,1,2.5,0.25,3000,1700,5,NA,5e-4,5e-4,0.25,NA,23.12,NA,NA,0,NA,1156.07,NA,NA,NA,33526.01,1156.07,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villa Hayes,PVH-280,2021-10-19,11:30,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Confuso,NA,"25° 6' 26,16""","57° 32' 48.9""",-25.1072,-57.5469,NA,NA,803.5,91,7.35,-25.1,1248,0.6,23.4,3.77,44.2,41.8,792,753,38.1,125,118.3,0,52,187.8,117.1,34.3,3.47,183.1,3.37,36.7,6.44,185.31,4.49,0.684,0.177,0.406,0.136,1.58,0.416,12.7,145.02,NA,160000,400,NA,NA,73920000,5,5,25,25,5,200,0.5,5,25,2,0.25,0.5,2.5,0.25,300,100,0.5,5,200,0.5,5,25,2,0.25,1,2.5,0.25,2000,100,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,0,NA,0,NA,NA,NA,44619.42,0,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Bruguez,PGB-250,2021-10-06,13:35,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,"24° 44' 53.94""","58° 49' 59.04""",-24.7483,-58.8331,NA,NA,26,262,8.3,-81.6,38400,24.4,24.7,10.61,129.6,4.69,30068.8,30036,32.8,10,4100,75,525,6462,9684.7,1286.6,194.5,7874.86,4.74,1302.6,206.7,8014.62,5.34,4.29,1,0.12,0.046,0.071,0.216,3.7,388.63,NA,64000,1200,NA,NA,15840000,5,5,25,25,5,100,0.5,5,25,5,0.25,0.5,2.5,0.25,50,6100,6,5,100,0.5,5,25,5,0.25,0.5,2.5,0.25,50,6200,7,NA,5e-4,5e-4,0.25,NA,30.49,NA,NA,0,NA,3048.78,NA,NA,NA,NA,0,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hacienda 9 de junio,P9J-198,2021-10-05,10:45,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"23° 27' 15.36""","60° 52' 47.16""",-23.4543,-60.8798,NA,NA,887,200.9,8.28,-78.6,1128,0.5,19.7,8.85,98.6,71.8,815.8,766,49.8,125,328,10,112,105,312.8,69.7,35.9,91.62,3.66,72.9,35.5,98.64,3.7,0.432,0.107,0.149,0.355,3.61,0.36,8.4,52.13,NA,120000,11200,NA,NA,19360000,5,5,25,25,5,25,0.5,5,25,1,0.25,0.5,2.5,0.25,50,500,0.5,5,25,0.5,5,25,2,0.25,1,2.5,0.25,2000,500,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,20.08,NA,0,NA,NA,NA,40160.64,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
General Díaz,PGD-200,2021-10-05,7:30,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Chaco Paraguayo,"23° 34' 37.26""","60° 34' 48.00""",-23.577,-60.58,NA,NA,801.5,180.4,8.11,-69.1,1248,0.6,18.9,8.07,88.7,184,1014,899,115,200,364,8,122,103,356.4,80.9,35.9,135.54,10.02,86.5,38.4,138.03,10.26,0.601,0.115,0.455,0.512,1.92,0.535,8.8,35.07,NA,200000,8000,NA,NA,44000000,5,5,25,25,5,25,1,5,25,1,0.25,0.5,2.5,0.25,50,600,0.5,5,90,2,5,25,2,0.25,3,2.5,0.25,3000,600,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,8.7,NA,0,NA,NA,NA,26086.96,782.61,8.7,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agropil,PAG-196,2021-10-03,7:30,October 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"23° 10' 19.62""","61° 37' 28.32""",-23.1721,-61.6245,NA,NA,940.5,174.1,8.18,-74.5,1063,0.5,25.6,6.92,87.4,140,822,713.3,108.7,50,344,10,115,68,315.2,79.3,29.6,97.64,8.81,85.7,31.6,102.25,9.49,0.549,0.118,0.155,0.118,2.5,0.216,2.5,39.81,NA,160000,1200,NA,NA,21120000,5,5,25,25,5,25,0.5,5,25,1,0.25,0.5,2.5,0.25,50,400,0.5,5,25,2,5,25,2,0.25,3,2.5,0.25,4000,400,0.5,NA,5e-4,5e-4,0.25,NA,NA,NA,NA,9.2,NA,0,NA,NA,NA,36798.53,NA,18.4,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2021-08-12,15:30,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.78""","65° 47' 39.48""",-19.4719,-65.7943,0.584,1,1144,118,7.79,-45.7,874,0.4,15.8,5.62,84.8,125,666,564,106,NA,252,NA,94.5,54.7,281.8,53.16,18.82,94.3,13.84,53.3,19.09,97.06,14.24,NA,NA,NA,NA,1.77,NA,18,33,15,NA,NA,NA,NA,NA,5,5,25,25,5,900,6,18,2000,25,3,0.5,2.5,0.25,200,200,0.5,5,900,6,67,5000,78,13,31,2.5,0.25,7000,300,4,0.025,0.005,NA,NA,NA,37.74,28301.89,161.89,500,NA,943.4,94.34,462.26,NA,64150.94,0,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2021-08-12,10:50,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.86""","65° 33' 6.72""",-19.3214,-65.5519,0.418,0,3255,136.2,4.83,117.4,307,0.1,9.3,7.44,100.2,44.2,216,208,14,NA,95.03,NA,0.05,4.39,125.5,9.48,16.63,12.4,1.19,10.98,16.9,12.48,1.2,NA,NA,NA,NA,1.64,NA,2.5,1,6,NA,NA,NA,NA,NA,5,5,25,25,5,4000,20,375,990,0.5,3,0.5,2.5,0.25,4000,25,0.5,5,4000,20,390,990,4,3,3,2.5,0.25,15000,50,0.5,0.025,0.004,NA,NA,NA,NA,0,129.29,285.71,NA,3571.43,0,1071.43,NA,785714.29,0,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2021-08-11,13:20,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 9' 34.62""","65° 33' 24.18""",-19.1596,-65.5567,0.552,0,1532,145.8,8.53,-87.2,653,0.2,20,6.4,99.5,6.95,428,426,7,NA,324,NA,131.5,15.04,100,27,37.75,14.01,6.15,28,38.31,14.01,6.2,NA,NA,NA,NA,1.03,NA,2.5,1,6,NA,NA,NA,NA,NA,5,5,25,25,5,100,0.5,5,25,0.5,0.25,0.5,2.5,0.25,50,100,0.5,5,100,1,5,25,0.5,0.25,0.5,2.5,0.25,300,100,0.5,0.025,0.005,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,42857.14,0,142.86,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2021-08-11,11:40,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 55.98""","65° 34' 21.12""",-19.1322,-65.5725,0.887,4,989,153.6,8.34,-76.1,1012,0.4,13,7.72,102.3,128,720,630,96,NA,216,NA,119,147.89,130.3,35.48,21.05,124.15,10.72,34.68,20.77,123.57,10.91,NA,NA,NA,NA,8.39,NA,4,5,7,NA,NA,NA,NA,NA,5,5,25,25,5,400,4,45,2000,53,3,59,2.5,0.25,4000,1500,0.5,5,400,9,46,2000,53,3,79,2.5,0.25,5000,1700,1,0.025,0.005,NA,NA,NA,10.42,0,711.25,0,NA,2083.33,0,10.42,NA,10416.67,0,52.08,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2021-08-10,15:45,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.16""","65° 14' 25.86""",-20.7423,-65.2405,0.382,4,843,164.9,8.48,-84,1187,0.5,17.4,7.6,105.4,91.1,1010,974,38,NA,520,NA,115,40.18,505.4,53.64,87.44,65.33,7.15,54.09,87.71,68.07,7.34,NA,NA,NA,NA,2.75,NA,2.5,1,6,NA,NA,NA,NA,NA,5,5,25,25,5,25,2,5,25,4,0.25,0.5,2.5,0.25,50,1200,0.5,5,200,2,5,25,5,0.25,2,2.5,0.8,3000,1300,0.5,0.025,0.005,NA,NA,NA,NA,NA,NA,26.32,NA,2631.58,NA,NA,NA,78947.37,5263.16,0,NA,water_2021_clean.xlsx,NA,21.05,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2021-08-10,11:05,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.06""","65° 12' 34.26""",-21.2392,-65.2095,0.481,4,772,184.5,8.42,-80.2,1295,0.6,13.8,9.13,116.6,46.9,1044,1046,3,NA,524,NA,165,61.45,515.6,85.23,62.82,98.73,8.82,88.93,63.1,113.67,8.77,NA,NA,NA,NA,2.63,NA,2.5,1,6,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,3,0.25,2,2.5,0.25,600,2500,0.5,5,50,0.5,5,25,3,0.25,2,2.5,0.25,1100,2700,0.5,0.025,0.007,NA,NA,NA,NA,NA,NA,0,NA,66666.67,NA,NA,NA,166666.67,16666.67,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villamontes,BVI-150,2021-08-09,7:45,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,"21° 15' 28.38""","63° 30' 45.06""",-21.2579,-63.5125,0.252,38,754,195.1,8.44,-83.2,1329,0.6,21.3,8.37,98.1,12.5,838,834,11,NA,360,NA,120.5,185.7,284.1,45.99,44.29,144.31,6.63,44.34,45.39,151.55,7.01,NA,NA,NA,NA,1.03,NA,2.5,2.736,7,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,3,0.25,0.5,2.5,0.25,200,800,0.5,5,25,0.5,5,25,4,0.25,0.5,2.5,0.25,200,800,0.5,0.025,0.004,NA,NA,NA,NA,NA,NA,90.91,NA,0,NA,NA,NA,0,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2021-08-08,11:00,August 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 42.66""","62° 31' 7.68""",-22.3785,-62.5188,1.092,47,733,193.3,8.19,-68.5,1371,0.6,20.6,8.38,96.5,315,1420,904,543,NA,344,NA,118,191.44,304.1,57.05,42.9,146.12,7.25,51.02,43.46,153.98,7.44,NA,NA,NA,NA,0.78,NA,2.5,3.403,7,NA,NA,NA,NA,NA,5,5,25,25,5,200,6,5,25,2,0.25,4,2.5,0.25,6000,700,0.5,11,200,8,5,25,7,0.25,13,2.5,0.25,16000,700,1,0.025,0.005,NA,NA,NA,1.84,NA,10.59,9.21,NA,0,NA,NA,20.26,18416.21,0,3.68,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viña Quemada,BVQ-122,2022-12-09,11:20,December 2022,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 26.754""","64° 51' 49.866""",-19.4074,-64.8639,0.6,13,1258,156.6,8.54,-96.5,795,0.3,21.6,6.67,97,1650,1972,512,1460,NA,272.3,0.05,135,101.1,16,35.93,25.96,63.99,6.08,40.12,41.8,104.5,11.03,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.005,0.005,1,1820,5,1,360,28,0.1,0.5,0.5,0.5,11020,340,5,7,1870,5,36,370,29,0.1,87,0.5,0.5,50110,440,5,NA,NA,NA,NA,NA,NA,6.85,55.42,0.68,NA,68.49,NA,24.66,4.79,26773.97,34.25,NA,NA,water_2022_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
