OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
233,1,233,2786,2786.8758602797525,23300,-0.0031100147645611287
234,1,234,2786,2786.563337506973,23400,-0.0031252277277963
235,1,235,2786,2786.24919609857,23500,-0.003141414084029748
236,1,236,2785,2785.9333387152437,23600,-0.003158573833261471
237,1,237,2785,2785.6156680176955,23700,-0.003176706975482375
238,1,238,2784,2785.296086666626,23800,-0.0031958135106970077
239,1,239,2784,2784.9744973227344,23900,-0.0032158934389144634
240,1,240,2784,2784.6508026467213,24000,-0.003236946760130195
241,1,241,2785,2784.3249052992883,24100,-0.0032589734743305597
242,1,242,2785,2783.9967079411354,24200,-0.0032819735815292008
243,1,243,2789,2783.666113232963,24300,-0.0033059470817215697
244,1,244,2782,2783.3330238354706,24400,-0.003330893974925857
245,1,245,2781,2782.997342409361,24500,-0.003356814261096588
246,1,246,2781,2782.6589716153326,24600,-0.0033837079402837845
247,1,247,2782,2782.317814114087,24700,-0.0034115750124556143
248,1,248,2782,2781.973772566324,24800,-0.0034404154776302674
249,1,249,2782,2781.6281646264356,24900,-0.003456079398883958
250,1,250,2781,2781.282370280786,25000,-0.0034579434564966506
251,1,251,2780,2780.9363856880327,25100,-0.003459845927532115
252,1,252,2780,2780.5902070068346,25200,-0.003461786811981256
253,1,253,2781,2780.24383039585,25300,-0.003463766109844073
254,1,254,2780,2779.8972520137377,25400,-0.0034657838211251146
255,1,255,2778,2779.5504680191552,25500,-0.00346783994582438
256,1,256,2778,2779.20347457076,25600,-0.003469934483950965
257,1,257,2777,2778.8562678272137,25700,-0.0034720674354639415
258,1,258,2779,2778.508843947171,25800,-0.003474238800426974
259,1,259,2778,2778.161199089292,25900,-0.003476448578790041
260,1,260,2778,2777.8133294122345,26000,-0.00347869677057588
261,1,261,2778,2777.4652310746574,26100,-0.0034809833757708476
262,1,262,2778,2777.116900235219,26200,-0.0034833083943840394
263,1,263,2776,2776.7683330525774,26300,-0.0034856718264154552
264,1,264,2778,2776.4195256853905,26400,-0.0034880736718696428
265,1,265,2775,2776.0704742923167,26500,-0.003490513930737507
266,1,266,2773,2775.7211750320153,26600,-0.0034929926030144998
267,1,267,2774,2775.371624063143,26700,-0.0034955096887233595
268,1,268,2777,2775.0218175443597,26800,-0.003498065187832253
269,1,269,2773,2774.671751634323,26900,-0.0035006591003684663
270,1,270,2775,2774.3214224916915,27000,-0.003503291426313808
271,1,271,2772,2773.9708262751233,27100,-0.003505962165681922
272,1,272,2770,2773.619959143276,27200,-0.003508671318472807
273,1,273,2772,2773.2688172548096,27300,-0.003511418884663726
274,1,274,2770,2772.917396768381,27400,-0.003514204864286512
275,1,275,2778,2772.565693842649,27500,-0.003517029257318427
276,1,276,2776,2772.213704636273,27600,-0.003519892063759471
277,1,277,2770,2771.861425307909,27700,-0.0035227932836414764
278,1,278,2771,2771.5088520162185,27800,-0.0035257329169053266
279,1,279,2773,2771.155980919857,27900,-0.003528710963614685
280,1,280,2772,2770.8028081774837,28000,-0.0035317274237331732
281,1,281,2771,2770.449329947757,28100,-0.0035347822972653375
282,1,282,2774,2770.0955423893356,28200,-0.003537875584215726
283,1,283,2768,2769.7414416608767,28300,-0.0035410072845888864
284,1,284,2767,2769.3870239210405,28400,-0.0035441773983620807
285,1,285,2767,2769.0322853284842,28500,-0.0035473859255625937
286,1,286,2766,2768.6772220418657,28600,-0.003550632866185879
287,1,287,2770,2768.3218302198443,28700,-0.0035539182202137453
288,1,288,2770,2767.966106021077,28800,-0.0035572419876734786
289,1,289,2777,2767.6100456042236,28900,-0.0035606041685332457
290,1,290,2770,2767.2536451279416,29000,-0.003564004762820332
291,1,291,2764,2766.89690075089,29100,-0.0035674437705165473
292,1,292,2786,2766.539808631727,29200,-0.003570921191630987
293,1,293,2762,2766.182364929109,29300,-0.0035744370261772927
294,1,294,2762,2765.824565801698,29400,-0.0035779912741099908
295,1,295,2762,2765.4664074081484,29500,-0.003581583935497292
296,1,296,2784,2765.1078859071213,29600,-0.0035852150102709856
297,1,297,2766,2764.748997457274,29700,-0.003588884498471998
298,1,298,2768,2764.3897382172645,29800,-0.003592592400095782
299,1,299,2769,2764.0301043457525,29900,-0.0035963387151196004
300,1,300,2759,2763.6700920013955,30000,-0.0036001234435707376
301,1,301,2786,2763.3096973428505,30100,-0.0036039465854491937
302,1,302,2764,2762.9489165287778,30200,-0.003607808140727684
303,1,303,2771,2762.5877457178353,30300,-0.0036117081094243987
