OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
235,1,235,2524,2525.138607111243,23500,-0.005653579756876752
236,1,236,2524,2524.5726870774274,23600,-0.005659200338154733
237,1,237,2524,2524.006466262179,23700,-0.005662208152484709
238,1,238,2525,2523.4402059421977,23800,-0.005662603199812111
239,1,239,2526,2522.874167394178,23900,-0.005660385480196055
240,1,240,2523,2522.3086118948195,24000,-0.0056555549935865205
241,1,241,2522,2521.7438007208198,24100,-0.005648111739997148
242,1,242,2521,2521.1799951488756,24200,-0.005638055719441581
243,1,243,2521,2520.6174564556836,24300,-0.00562538693191982
244,1,244,2520,2520.056445917943,24400,-0.00561010537740458
245,1,245,2522,2519.497224812351,24500,-0.005592211055923144
246,1,246,2520,2518.9400544156047,24600,-0.005571703967461872
247,1,247,2520,2518.385196004401,24700,-0.005548584112034405
248,1,248,2518,2517.832910855438,24800,-0.005522851489631648
249,1,249,2520,2517.2834602454136,24900,-0.005494506100244507
250,1,250,2518,2516.737105451025,25000,-0.005463547943886624
251,1,251,2518,2516.194107748969,25100,-0.005429977020557999
252,1,252,2517,2515.654728415945,25200,-0.005393793330240442
253,1,253,2515,2515.1192287286485,25300,-0.005354996872965785
254,1,254,2515,2514.585455303225,25400,-0.005337734254235329
255,1,255,2514,2514.05116501338,25500,-0.00534290289845103
256,1,256,2513,2513.5164845221543,25600,-0.005346804912255721
257,1,257,2515,2512.981540492587,25700,-0.005349440295672139
258,1,258,2515,2512.4464595877175,25800,-0.005350809048695737
259,1,259,2514,2511.9113684705867,25900,-0.005350911171308326
260,1,260,2511,2511.376393804234,26000,-0.005349746663528094
261,1,261,2510,2510.841662251698,26100,-0.005347315525359591
262,1,262,2509,2510.3073004760213,26200,-0.005343617756766434
263,1,263,2509,2509.77343514024,26300,-0.005338653357812291
264,1,264,2506,2509.240192907397,26400,-0.005332422328428947
265,1,265,2509,2508.707700440531,26500,-0.005324924668661879
266,1,266,2507,2508.176084402682,26600,-0.005316160378488349
267,1,267,2507,2507.6454714568895,26700,-0.005306129457926545
268,1,268,2507,2507.1159882661937,26800,-0.005294831906958279
269,1,269,2506,2506.5877614936335,26900,-0.005282267725601741
270,1,270,2505,2506.06091780225,27000,-0.005268436913834194
271,1,271,2505,2505.5355838550818,27100,-0.005253339471682921
272,1,272,2504,2505.01188631517,27200,-0.0052369753991160905
273,1,273,2504,2504.489951845553,27300,-0.005219344696170083
274,1,274,2504,2503.969907109272,27400,-0.005200447362813066
275,1,275,2503,2503.4518787693655,27500,-0.005180283399063228
276,1,276,2502,2502.935993488874,27600,-0.005158852804916023
277,1,277,2502,2502.4223779308386,27700,-0.005136155580353261
278,1,278,2500,2501.911158758296,27800,-0.0051121917254249635
279,1,279,2500,2501.402462634289,27900,-0.0050869612400720144
